225,"jenmac",1,2002-05-31 17:22:28.043000000
226,"adfasd",0,2002-06-03 10:06:45.327000000
227,"david",0,2002-06-03 10:07:10.140000000
228,"asdfk",0,2002-06-03 10:07:19.873000000
229,"david",1,2002-06-03 10:07:26.013000000
230,"david",1,2002-06-03 10:09:59.233000000
231,"asdf",0,2002-06-03 10:25:31.437000000
232,"david",1,2002-06-03 10:25:36.780000000
233,"david",1,2002-06-03 14:28:54.937000000
234,"david",1,2002-06-03 14:29:19.750000000
235,"butch",0,2002-06-03 14:31:16.293000000
236,"butch",0,2002-06-03 14:31:23.217000000
237,"butch",1,2002-06-03 14:31:38.297000000
238,"david",1,2002-06-03 14:32:00.700000000
239,"david",1,2002-06-03 14:47:29.327000000
240,"butch",1,2002-06-03 16:12:21.263000000
241,"butch2",0,2002-06-03 16:13:03.607000000
242,"butch2",0,2002-06-03 16:13:37.890000000
243,"butch2",1,2002-06-03 16:13:57.090000000
244,"david",1,2002-06-03 16:34:45.750000000
245,"choward",1,2002-06-03 16:58:39.090000000
246,"david",1,2002-06-03 17:29:47.357000000
247,"butch",1,2002-06-03 17:30:12.840000000
248,"butch2",1,2002-06-03 17:30:24.873000000
249,"tiger",1,2002-06-03 17:31:20.090000000
250,"david",1,2002-06-03 17:32:37.357000000
251,"david",1,2002-06-03 17:33:03.920000000
252,"davis",1,2002-06-03 17:33:49.590000000
253,"davidduval",1,2002-06-03 17:34:20.653000000
254,"butch2",1,2002-06-03 17:36:41.123000000
255,"tiger",1,2002-06-03 17:43:51.107000000
256,"butch2",1,2002-06-03 17:46:49.750000000
257,"Sergio",0,2002-06-03 17:47:55.060000000
258,"david",0,2002-06-03 17:49:18.607000000
259,"david",1,2002-06-03 17:49:22.953000000
260,"choward",1,2002-06-03 19:49:00.590000000
261,"david",1,2002-06-03 20:27:32.077000000
262,"jim",1,2002-06-07 09:08:10.700000000
263,"jim",1,2002-06-07 09:09:56.937000000
264,"david",1,2002-06-09 11:15:56.170000000
265,"david",1,2002-06-09 11:26:17.263000000
266,"david",0,2002-06-09 12:00:48.200000000
267,"david",1,2002-06-09 12:01:07.543000000
268,"david",1,2002-06-09 12:10:29.373000000
269,"joe9789",1,2002-06-09 12:10:44.530000000
270,"david",1,2002-06-10 10:59:07.123000000
271,"david",1,2002-06-11 11:03:03.233000000
